TIEMPO;EST. LAGOS I F/BLANCA PM10;EST. LAGOS I F/BLANCA PM2,5;EST. LAGOS I F/BLANCA NO2;EST. LAGOS I F/BLANCA O3;EST. LACIUDADELA PM10;EST. LACIUDADELA PM2,5;EST. LACIUDADELA NO2;EST. LACIUDADELA O3;EST. SANTA CRUZ GIRÓN PM10;EST. SANTA CRUZ GIRÓN PM2,5;EST. SAN FRANCISCO PM10;EST. SAN FRANCISCO PM2,5;EST. LAGOS DEL CACIQUE PM10;EST. LAGOS DEL CACIQUE PM2,5;EST. LAGOS I F/BLANCA TEMPERATURA;EST. LAGOS I F/BLANCA LLUVIA;EST. LAGOS I F/BLANCA HUMEDAD;EST. LAGOS I F/BLANCA DIR. VIENTO;EST. LAGOS I F/BLANCA VEL.VIENTO;EST. LAGOS I F/BLANCA RAD. SOLAR;EST. LACIUDADELA TEMPERATURA;EST. LACIUDADELA LLUVIA;EST. LACIUDADELA HUMEDAD;EST. LACIUDADELA DIR. VIENTO;EST. LACIUDADELA VEL.VIENTO;EST. LACIUDADELA RAD. SOLAR;EST. SANTA CRUZ GIRÓN TEMPERATURA;EST. SANTA CRUZ GIRÓN LLUVIA;EST. SANTA CRUZ GIRÓN HUMEDAD;EST. SANTA CRUZ GIRÓN DIR. VIENTO;EST. SANTA CRUZ GIRÓN VEL.VIENTO;EST. SANTA CRUZ GIRÓN RAD. SOLAR;EST. SAN FRANCISCO TEMPERATURA;EST. SAN FRANCISCO LLUVIA;EST. SAN FRANCISCO HUMEDAD;EST. SAN FRANCISCO DIR. VIENTO;EST. SAN FRANCISCO VEL.VIENTO;EST. SAN FRANCISCO RAD. SOLAR;EST. LAGOS DEL CACIQUE TEMPERATURA;EST. LAGOS DEL CACIQUE LLUVIA;EST. LAGOS DEL CACIQUE HUMEDAD;EST. LAGOS DEL CACIQUE DIR. VIENTO;EST. LAGOS DEL CACIQUE VEL.VIENTO;EST. LAGOS DEL CACIQUE RAD. SOLAR
1/10/2018 0:00;NA;NA;NA;NA;238;121;23.8128;3.4;135;56;13;64;10.2;4.9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;236;0;864;3394;NA;0;229;0;802;1262;1;0;222;1;835;2906;NA;0
1/10/2018 1:00;NA;NA;NA;NA;146;75;1.2628;17.5;127;55;138;64;14.7;7.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;232;0;866;3405;NA;0;219;1;88;1246;11;0;217;0;898;1099;NA;0
1/10/2018 2:00;NA;NA;NA;NA;145;77;12.628;7.2;162;66;132;67;13.4;6.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;229;0;874;3402;NA;0;221;0;87;1348;11;0;217;0;868;3504;NA;0
1/10/2018 3:00;NA;NA;NA;NA;166;79;13.3496;NA;163;67;124;6;11.7;6.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;226;0;887;3336;NA;0;221;0;831;1406;8;0;216;0;849;2583;NA;0
1/10/2018 4:00;NA;NA;NA;NA;183;95;8.4788;3.6;151;57;161;73;16.7;8.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;223;0;878;3401;0.8;0;212;0;908;1775;1;0;207;0;917;1706;1;0
1/10/2018 5:00;NA;NA;NA;NA;129;61;7.216;15.3;251;95;17;66;14.8;7.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;219;0;904;3271;0.7;85;21;0;889;228;9;27;207;0;901;1421;1;98
1/10/2018 6:00;NA;NA;NA;NA;207;86;26.5188;NA;285;96;213;86;17.7;8.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;228;0;853;3218;1;1594;221;0;825;2206;9;1163;211;1;857;1525;0.8;879
1/10/2018 7:00;NA;NA;NA;NA;252;123;42.9352;8.8;208;71;273;105;22.2;10.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;252;0;734;3168;0.9;3858;228;0;786;2327;9;2123;24;0;755;1178;NA;356
1/10/2018 8:00;NA;NA;NA;NA;242;116;46.7236;30.1;181;64;286;13;25.8;12.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;274;0;638;324;NA;6219;24;0;721;2285;13;3022;254;0;669;229;NA;4919
1/10/2018 9:00;NA;NA;NA;NA;209;91;27.6012;62.1;185;61;327;152;19.4;9.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;298;0;511;3539;0.6;7388;265;0;572;2416;14;7434;273;0;58;1698;0.7;646
1/10/2018 10:00;NA;NA;NA;NA;205;97;22.1892;109.7;235;77;342;136;21.2;9.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;317;0;438;3481;0.7;841;273;0;508;2228;13;8886;298;0;471;1574;0.7;8041
1/10/2018 11:00;NA;NA;NA;NA;181;83;1.2628;97.6;255;88;214;9;29.3;11.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;325;0;428;341;0.6;8459;282;0;484;2509;14;8915;305;0;452;1339;NA;8092
